lot_id,date,wafer_slot,site_id,bcd_nm,mcd_nm,tcd_nm,taper_nm
L0163,2026-03-30,13,S17,91.028,85.807,80.545,10.558
L0163,2026-03-30,13,S26,91.808,85.547,80.458,9.572
L0163,2026-03-30,13,S35,89.381,85.402,78.868,10.683
L0181,2026-04-01,13,S00,91.654,85.645,80.371,10.256
L0181,2026-04-01,13,S08,86.158,82.558,76.366,10.834
L0181,2026-04-01,13,S17,91.077,85.58,80.431,9.887
L0181,2026-04-01,13,S26,91.031,86.499,81.03,10.61
L0181,2026-04-01,13,S35,92.619,88.231,82.145,10.582
L0193,2026-04-03,13,S00,87.464,83.402,79.796,9.02
L0193,2026-04-03,13,S08,87.084,82.353,77.393,9.322
L0193,2026-04-03,13,S17,89.563,83.869,79.379,9.151
L0193,2026-04-03,13,S26,85.184,79.665,76.338,8.879
L0193,2026-04-03,13,S35,90.474,84.889,80.722,8.706
L0199,2026-04-03,13,S00,88.242,82.785,79.215,8.807
L0199,2026-04-03,13,S08,92.01,86.357,82.442,9.027
L0199,2026-04-03,13,S17,87.188,81.705,77.995,9.212
L0199,2026-04-03,13,S26,87.884,81.692,78.372,9.275
L0199,2026-04-03,13,S35,87.887,83.059,78.445,8.658
L0205,2026-04-06,13,S00,91.06,84.712,79.829,9.847
L0205,2026-04-06,13,S08,88.208,82.511,77.965,10.355
L0205,2026-04-06,13,S17,91.982,86.296,80.776,9.702
L0205,2026-04-06,13,S26,87.737,83.064,77.911,10.039
L0205,2026-04-06,13,S35,91.605,86.794,81.543,10.336
L0217,2026-04-08,13,S00,90.126,85.872,80.362,9.332
L0217,2026-04-08,13,S08,88.757,83.568,78.265,10.002
L0217,2026-04-08,13,S17,92.001,86.473,81.087,10.097
L0217,2026-04-08,13,S26,88.154,82.895,78.899,11.114
L0217,2026-04-08,13,S35,93.606,87.496,83.606,10.7
L0223,2026-04-08,13,S00,92.111,87.559,82.238,10.433
L0223,2026-04-08,13,S08,91.345,87.108,81.595,10.098
L0223,2026-04-08,13,S17,89.948,86.066,79.846,9.682
L0223,2026-04-08,13,S26,90.541,87.141,79.847,10.63
L0223,2026-04-08,13,S35,90.971,85.498,80.986,10.045
L0235,2026-04-10,13,S00,87.723,82.91,78.562,9.039
L0235,2026-04-10,13,S08,87.814,83.334,79.118,7.999
L0235,2026-04-10,13,S17,88.909,83.282,79.798,8.689
L0235,2026-04-10,13,S26,84.15,79.672,75.5,8.724
L0235,2026-04-10,13,S35,89.415,84.418,80.541,8.876
L0241,2026-04-13,13,S00,87.967,83.112,80.05,8.632
L0241,2026-04-13,13,S08,88.831,82.543,80.056,8.664
L0241,2026-04-13,13,S17,86.981,81.76,77.258,8.529
L0241,2026-04-13,13,S26,87.994,83.795,79.513,8.649
L0241,2026-04-13,13,S35,87.649,82.221,79.1,8.056
L0247,2026-04-13,13,S00,88.616,84.123,79.827,9.228
L0247,2026-04-13,13,S08,87.499,82.255,79.507,8.968
L0247,2026-04-13,13,S17,85.739,80.798,76.14,8.197
L0247,2026-04-13,13,S26,88.647,84.359,80.493,8.178
L0247,2026-04-13,13,S35,85.57,79.841,76.336,8.271
L0259,2026-04-15,13,S00,90.074,85.957,81.348,9.986
L0259,2026-04-15,13,S08,93.113,87.763,82.542,9.79
L0259,2026-04-15,13,S17,88.485,83.285,77.571,10.443
L0259,2026-04-15,13,S26,92.969,87.935,82.378,10.401
L0259,2026-04-15,13,S35,90.041,84.093,79.501,9.894
L0277,2026-04-17,13,S00,91.365,87.997,81.817,10.082
L0277,2026-04-17,13,S08,89.549,82.301,78.344,10.474
L0277,2026-04-17,13,S17,91.898,86.77,81.887,10.196
L0277,2026-04-17,13,S26,88.906,82.524,77.216,9.972
L0277,2026-04-17,13,S35,92.571,87.246,82.853,10.555
L0283,2026-04-20,13,S00,90.893,86.267,81.751,9.783
L0283,2026-04-20,13,S08,91.622,87.522,82.111,10.195
L0283,2026-04-20,13,S17,88.626,84.385,78.23,10.756
L0283,2026-04-20,13,S26,88.648,84.102,78.734,10.005
L0283,2026-04-20,13,S35,90.452,86.249,81.085,10.134
L0301,2026-04-22,13,S00,90.288,84.908,80.171,10.37
L0301,2026-04-22,13,S08,88.226,82.439,77.265,10.917
L0301,2026-04-22,13,S17,92.03,87.174,81.528,10.16
L0301,2026-04-22,13,S26,91.113,85.123,79.584,11.089
L0301,2026-04-22,13,S35,92.734,88.473,82.889,10.178
L0313,2026-04-24,13,S00,91.025,86.533,80.291,10.078
L0313,2026-04-24,13,S08,89.061,83.821,78.55,10.628
L0313,2026-04-24,13,S17,93.402,87.819,83.186,10.481
L0313,2026-04-24,13,S26,89.366,83.847,79.435,10.457
L0313,2026-04-24,13,S35,91.712,86.299,80.853,9.926
L0319,2026-04-24,13,S00,91.897,87.051,81.225,9.896
L0319,2026-04-24,13,S08,88.006,83.336,78.543,10.831
L0319,2026-04-24,13,S17,92.692,87.041,81.298,10.113
L0319,2026-04-24,13,S26,88.396,83.83,79.402,11.02
L0319,2026-04-24,13,S35,94.228,89.049,83.277,10.61
