lot_id,date,wafer_slot,step,meas_tool,site_id,field_x,field_y,site_in_field,wafer_x_mm,wafer_y_mm,r_norm,pattern_density,cd_nm
L0001,2026-03-02,13,ADI,CDSEM-B,S22,0,-2,2,9.1,-77.55,0.5205,0.447,128.327
L0001,2026-03-02,13,ADI,CDSEM-B,S23,0,-2,3,-9.1,-54.45,0.368,0.473,131.853
L0001,2026-03-02,13,ADI,CDSEM-B,S24,0,-2,4,9.1,-54.45,0.368,0.5,130.085
L0001,2026-03-02,13,ADI,CDSEM-B,S25,5,0,0,130.0,0.0,0.8667,0.527,132.203
L0001,2026-03-02,13,ADI,CDSEM-B,S26,5,0,1,120.9,-11.55,0.8097,0.553,132.35
L0001,2026-03-02,13,ADI,CDSEM-B,S27,5,0,3,120.9,11.55,0.8097,0.42,132.089
L0001,2026-03-02,13,ADI,CDSEM-B,S28,-5,0,0,-130.0,0.0,0.8667,0.473,132.386
L0001,2026-03-02,13,ADI,CDSEM-B,S29,-5,0,2,-120.9,-11.55,0.8097,0.527,128.326
L0001,2026-03-02,13,ADI,CDSEM-B,S30,-5,0,4,-120.9,11.55,0.8097,0.58,130.999
L0001,2026-03-02,13,ADI,CDSEM-B,S31,2,-3,0,52.0,-99.0,0.7455,0.42,131.463
L0001,2026-03-02,13,ADI,CDSEM-B,S32,2,-3,1,42.9,-110.55,0.7905,0.447,131.731
L0001,2026-03-02,13,ADI,CDSEM-B,S33,2,-3,2,61.1,-110.55,0.8421,0.473,130.261
L0001,2026-03-02,13,ADI,CDSEM-B,S34,2,-3,3,42.9,-87.45,0.6494,0.5,131.874
L0001,2026-03-02,13,ADI,CDSEM-B,S35,2,-3,4,61.1,-87.45,0.7112,0.527,131.027
L0001,2026-03-02,13,ADI,CDSEM-B,S36,-2,-3,0,-52.0,-99.0,0.7455,0.553,129.05
L0001,2026-03-02,13,ADI,CDSEM-B,S37,-2,-3,1,-61.1,-110.55,0.8421,0.58,132.583
L0001,2026-03-02,13,ADI,CDSEM-B,S38,-2,-3,2,-42.9,-110.55,0.7905,0.42,129.391
L0001,2026-03-02,13,ADI,CDSEM-B,S39,-2,-3,3,-61.1,-87.45,0.7112,0.447,131.859
L0001,2026-03-02,13,ADI,CDSEM-B,S40,-2,-3,4,-42.9,-87.45,0.6494,0.473,130.911
L0001,2026-03-02,23,ADI,CDSEM-B,S00,0,0,0,0.0,0.0,0.0,0.42,132.452
L0001,2026-03-02,23,ADI,CDSEM-B,S01,0,0,1,-9.1,-11.55,0.098,0.447,132.351
L0001,2026-03-02,23,ADI,CDSEM-B,S02,0,0,2,9.1,-11.55,0.098,0.473,131.237
L0001,2026-03-02,23,ADI,CDSEM-B,S03,0,0,3,-9.1,11.55,0.098,0.5,134.16
L0001,2026-03-02,23,ADI,CDSEM-B,S04,0,0,4,9.1,11.55,0.098,0.527,130.551
L0001,2026-03-02,23,ADI,CDSEM-B,S05,2,0,0,52.0,0.0,0.3467,0.553,131.628
L0001,2026-03-02,23,ADI,CDSEM-B,S06,2,0,1,42.9,-11.55,0.2962,0.58,130.193
L0001,2026-03-02,23,ADI,CDSEM-B,S07,2,0,2,61.1,-11.55,0.4145,0.42,129.149
L0001,2026-03-02,23,ADI,CDSEM-B,S08,2,0,3,42.9,11.55,0.2962,0.447,132.787
L0001,2026-03-02,23,ADI,CDSEM-B,S09,2,0,4,61.1,11.55,0.4145,0.473,129.741
L0001,2026-03-02,23,ADI,CDSEM-B,S10,-2,0,0,-52.0,0.0,0.3467,0.5,131.595
L0001,2026-03-02,23,ADI,CDSEM-B,S11,-2,0,1,-61.1,-11.55,0.4145,0.527,131.123
L0001,2026-03-02,23,ADI,CDSEM-B,S12,-2,0,2,-42.9,-11.55,0.2962,0.553,129.948
L0001,2026-03-02,23,ADI,CDSEM-B,S13,-2,0,3,-61.1,11.55,0.4145,0.58,132.2
L0001,2026-03-02,23,ADI,CDSEM-B,S14,-2,0,4,-42.9,11.55,0.2962,0.42,130.66
L0001,2026-03-02,23,ADI,CDSEM-B,S15,0,2,0,0.0,66.0,0.44,0.447,132.598
L0001,2026-03-02,23,ADI,CDSEM-B,S16,0,2,1,-9.1,54.45,0.368,0.473,132.376
L0001,2026-03-02,23,ADI,CDSEM-B,S17,0,2,2,9.1,54.45,0.368,0.5,130.497
L0001,2026-03-02,23,ADI,CDSEM-B,S18,0,2,3,-9.1,77.55,0.5205,0.527,131.054
L0001,2026-03-02,23,ADI,CDSEM-B,S19,0,2,4,9.1,77.55,0.5205,0.553,129.783
L0001,2026-03-02,23,ADI,CDSEM-B,S20,0,-2,0,0.0,-66.0,0.44,0.58,132.128
L0001,2026-03-02,23,ADI,CDSEM-B,S21,0,-2,1,-9.1,-77.55,0.5205,0.42,132.675
L0001,2026-03-02,23,ADI,CDSEM-B,S22,0,-2,2,9.1,-77.55,0.5205,0.447,130.77
L0001,2026-03-02,23,ADI,CDSEM-B,S23,0,-2,3,-9.1,-54.45,0.368,0.473,132.118
L0001,2026-03-02,23,ADI,CDSEM-B,S24,0,-2,4,9.1,-54.45,0.368,0.5,131.737
L0001,2026-03-02,23,ADI,CDSEM-B,S25,5,0,0,130.0,0.0,0.8667,0.527,132.591
L0001,2026-03-02,23,ADI,CDSEM-B,S26,5,0,1,120.9,-11.55,0.8097,0.553,132.038
L0001,2026-03-02,23,ADI,CDSEM-B,S27,5,0,3,120.9,11.55,0.8097,0.42,132.27
L0001,2026-03-02,23,ADI,CDSEM-B,S28,-5,0,0,-130.0,0.0,0.8667,0.473,132.41
L0001,2026-03-02,23,ADI,CDSEM-B,S29,-5,0,2,-120.9,-11.55,0.8097,0.527,128.822
L0001,2026-03-02,23,ADI,CDSEM-B,S30,-5,0,4,-120.9,11.55,0.8097,0.58,129.513
L0001,2026-03-02,23,ADI,CDSEM-B,S31,2,-3,0,52.0,-99.0,0.7455,0.42,132.727
L0001,2026-03-02,23,ADI,CDSEM-B,S32,2,-3,1,42.9,-110.55,0.7905,0.447,131.871
L0001,2026-03-02,23,ADI,CDSEM-B,S33,2,-3,2,61.1,-110.55,0.8421,0.473,128.782
L0001,2026-03-02,23,ADI,CDSEM-B,S34,2,-3,3,42.9,-87.45,0.6494,0.5,133.65
L0001,2026-03-02,23,ADI,CDSEM-B,S35,2,-3,4,61.1,-87.45,0.7112,0.527,130.902
L0001,2026-03-02,23,ADI,CDSEM-B,S36,-2,-3,0,-52.0,-99.0,0.7455,0.553,131.905
L0001,2026-03-02,23,ADI,CDSEM-B,S37,-2,-3,1,-61.1,-110.55,0.8421,0.58,131.283
L0001,2026-03-02,23,ADI,CDSEM-B,S38,-2,-3,2,-42.9,-110.55,0.7905,0.42,129.016
L0001,2026-03-02,23,ADI,CDSEM-B,S39,-2,-3,3,-61.1,-87.45,0.7112,0.447,132.724
L0001,2026-03-02,23,ADI,CDSEM-B,S40,-2,-3,4,-42.9,-87.45,0.6494,0.473,129.636
L0002,2026-03-02,3,ADI,CDSEM-B,S00,0,0,0,0.0,0.0,0.0,0.42,129.925
L0002,2026-03-02,3,ADI,CDSEM-B,S01,0,0,1,-9.1,-11.55,0.098,0.447,128.582
L0002,2026-03-02,3,ADI,CDSEM-B,S02,0,0,2,9.1,-11.55,0.098,0.473,128.14
L0002,2026-03-02,3,ADI,CDSEM-B,S03,0,0,3,-9.1,11.55,0.098,0.5,131.346
L0002,2026-03-02,3,ADI,CDSEM-B,S04,0,0,4,9.1,11.55,0.098,0.527,129.265
L0002,2026-03-02,3,ADI,CDSEM-B,S05,2,0,0,52.0,0.0,0.3467,0.553,131.241
L0002,2026-03-02,3,ADI,CDSEM-B,S06,2,0,1,42.9,-11.55,0.2962,0.58,130.697
L0002,2026-03-02,3,ADI,CDSEM-B,S07,2,0,2,61.1,-11.55,0.4145,0.42,128.489
L0002,2026-03-02,3,ADI,CDSEM-B,S08,2,0,3,42.9,11.55,0.2962,0.447,129.919
L0002,2026-03-02,3,ADI,CDSEM-B,S09,2,0,4,61.1,11.55,0.4145,0.473,129.371
L0002,2026-03-02,3,ADI,CDSEM-B,S10,-2,0,0,-52.0,0.0,0.3467,0.5,129.174
L0002,2026-03-02,3,ADI,CDSEM-B,S11,-2,0,1,-61.1,-11.55,0.4145,0.527,128.962
L0002,2026-03-02,3,ADI,CDSEM-B,S12,-2,0,2,-42.9,-11.55,0.2962,0.553,127.56
L0002,2026-03-02,3,ADI,CDSEM-B,S13,-2,0,3,-61.1,11.55,0.4145,0.58,130.667
L0002,2026-03-02,3,ADI,CDSEM-B,S14,-2,0,4,-42.9,11.55,0.2962,0.42,129.222
L0002,2026-03-02,3,ADI,CDSEM-B,S15,0,2,0,0.0,66.0,0.44,0.447,130.262
L0002,2026-03-02,3,ADI,CDSEM-B,S16,0,2,1,-9.1,54.45,0.368,0.473,130.407
L0002,2026-03-02,3,ADI,CDSEM-B,S17,0,2,2,9.1,54.45,0.368,0.5,128.852
L0002,2026-03-02,3,ADI,CDSEM-B,S18,0,2,3,-9.1,77.55,0.5205,0.527,131.503
L0002,2026-03-02,3,ADI,CDSEM-B,S19,0,2,4,9.1,77.55,0.5205,0.553,128.106
L0002,2026-03-02,3,ADI,CDSEM-B,S20,0,-2,0,0.0,-66.0,0.44,0.58,128.935
L0002,2026-03-02,3,ADI,CDSEM-B,S21,0,-2,1,-9.1,-77.55,0.5205,0.42,130.24
L0002,2026-03-02,3,ADI,CDSEM-B,S22,0,-2,2,9.1,-77.55,0.5205,0.447,129.913
L0002,2026-03-02,3,ADI,CDSEM-B,S23,0,-2,3,-9.1,-54.45,0.368,0.473,131.519
L0002,2026-03-02,3,ADI,CDSEM-B,S24,0,-2,4,9.1,-54.45,0.368,0.5,126.747
L0002,2026-03-02,3,ADI,CDSEM-B,S25,5,0,0,130.0,0.0,0.8667,0.527,129.751
L0002,2026-03-02,3,ADI,CDSEM-B,S26,5,0,1,120.9,-11.55,0.8097,0.553,130.651
L0002,2026-03-02,3,ADI,CDSEM-B,S27,5,0,3,120.9,11.55,0.8097,0.42,131.902
L0002,2026-03-02,3,ADI,CDSEM-B,S28,-5,0,0,-130.0,0.0,0.8667,0.473,131.045
L0002,2026-03-02,3,ADI,CDSEM-B,S29,-5,0,2,-120.9,-11.55,0.8097,0.527,129.673
L0002,2026-03-02,3,ADI,CDSEM-B,S30,-5,0,4,-120.9,11.55,0.8097,0.58,129.089
L0002,2026-03-02,3,ADI,CDSEM-B,S31,2,-3,0,52.0,-99.0,0.7455,0.42,131.432
L0002,2026-03-02,3,ADI,CDSEM-B,S32,2,-3,1,42.9,-110.55,0.7905,0.447,130.976
L0002,2026-03-02,3,ADI,CDSEM-B,S33,2,-3,2,61.1,-110.55,0.8421,0.473,128.84
L0002,2026-03-02,3,ADI,CDSEM-B,S34,2,-3,3,42.9,-87.45,0.6494,0.5,129.783
L0002,2026-03-02,3,ADI,CDSEM-B,S35,2,-3,4,61.1,-87.45,0.7112,0.527,130.228
L0002,2026-03-02,3,ADI,CDSEM-B,S36,-2,-3,0,-52.0,-99.0,0.7455,0.553,129.787
L0002,2026-03-02,3,ADI,CDSEM-B,S37,-2,-3,1,-61.1,-110.55,0.8421,0.58,130.553
L0002,2026-03-02,3,ADI,CDSEM-B,S38,-2,-3,2,-42.9,-110.55,0.7905,0.42,130.485
L0002,2026-03-02,3,ADI,CDSEM-B,S39,-2,-3,3,-61.1,-87.45,0.7112,0.447,131.576
L0002,2026-03-02,3,ADI,CDSEM-B,S40,-2,-3,4,-42.9,-87.45,0.6494,0.473,129.424
L0002,2026-03-02,13,ADI,CDSEM-B,S00,0,0,0,0.0,0.0,0.0,0.42,131.668
L0002,2026-03-02,13,ADI,CDSEM-B,S01,0,0,1,-9.1,-11.55,0.098,0.447,131.264
L0002,2026-03-02,13,ADI,CDSEM-B,S02,0,0,2,9.1,-11.55,0.098,0.473,128.047
L0002,2026-03-02,13,ADI,CDSEM-B,S03,0,0,3,-9.1,11.55,0.098,0.5,132.966
L0002,2026-03-02,13,ADI,CDSEM-B,S04,0,0,4,9.1,11.55,0.098,0.527,127.793
L0002,2026-03-02,13,ADI,CDSEM-B,S05,2,0,0,52.0,0.0,0.3467,0.553,130.753
L0002,2026-03-02,13,ADI,CDSEM-B,S06,2,0,1,42.9,-11.55,0.2962,0.58,128.733
L0002,2026-03-02,13,ADI,CDSEM-B,S07,2,0,2,61.1,-11.55,0.4145,0.42,128.346
L0002,2026-03-02,13,ADI,CDSEM-B,S08,2,0,3,42.9,11.55,0.2962,0.447,133.003
L0002,2026-03-02,13,ADI,CDSEM-B,S09,2,0,4,61.1,11.55,0.4145,0.473,129.301
L0002,2026-03-02,13,ADI,CDSEM-B,S10,-2,0,0,-52.0,0.0,0.3467,0.5,130.766
L0002,2026-03-02,13,ADI,CDSEM-B,S11,-2,0,1,-61.1,-11.55,0.4145,0.527,131.309
L0002,2026-03-02,13,ADI,CDSEM-B,S12,-2,0,2,-42.9,-11.55,0.2962,0.553,128.78
L0002,2026-03-02,13,ADI,CDSEM-B,S13,-2,0,3,-61.1,11.55,0.4145,0.58,131.124
L0002,2026-03-02,13,ADI,CDSEM-B,S14,-2,0,4,-42.9,11.55,0.2962,0.42,128.316
L0002,2026-03-02,13,ADI,CDSEM-B,S15,0,2,0,0.0,66.0,0.44,0.447,130.81
L0002,2026-03-02,13,ADI,CDSEM-B,S16,0,2,1,-9.1,54.45,0.368,0.473,130.335
L0002,2026-03-02,13,ADI,CDSEM-B,S17,0,2,2,9.1,54.45,0.368,0.5,128.476
L0002,2026-03-02,13,ADI,CDSEM-B,S18,0,2,3,-9.1,77.55,0.5205,0.527,131.845
L0002,2026-03-02,13,ADI,CDSEM-B,S19,0,2,4,9.1,77.55,0.5205,0.553,128.983
L0002,2026-03-02,13,ADI,CDSEM-B,S20,0,-2,0,0.0,-66.0,0.44,0.58,130.703
L0002,2026-03-02,13,ADI,CDSEM-B,S21,0,-2,1,-9.1,-77.55,0.5205,0.42,128.999
L0002,2026-03-02,13,ADI,CDSEM-B,S22,0,-2,2,9.1,-77.55,0.5205,0.447,128.798
L0002,2026-03-02,13,ADI,CDSEM-B,S23,0,-2,3,-9.1,-54.45,0.368,0.473,130.938
L0002,2026-03-02,13,ADI,CDSEM-B,S24,0,-2,4,9.1,-54.45,0.368,0.5,128.189
L0002,2026-03-02,13,ADI,CDSEM-B,S25,5,0,0,130.0,0.0,0.8667,0.527,131.319
L0002,2026-03-02,13,ADI,CDSEM-B,S26,5,0,1,120.9,-11.55,0.8097,0.553,130.242
L0002,2026-03-02,13,ADI,CDSEM-B,S27,5,0,3,120.9,11.55,0.8097,0.42,133.038
L0002,2026-03-02,13,ADI,CDSEM-B,S28,-5,0,0,-130.0,0.0,0.8667,0.473,131.861
L0002,2026-03-02,13,ADI,CDSEM-B,S29,-5,0,2,-120.9,-11.55,0.8097,0.527,128.218
L0002,2026-03-02,13,ADI,CDSEM-B,S30,-5,0,4,-120.9,11.55,0.8097,0.58,128.998
L0002,2026-03-02,13,ADI,CDSEM-B,S31,2,-3,0,52.0,-99.0,0.7455,0.42,130.639
L0002,2026-03-02,13,ADI,CDSEM-B,S32,2,-3,1,42.9,-110.55,0.7905,0.447,131.178
L0002,2026-03-02,13,ADI,CDSEM-B,S33,2,-3,2,61.1,-110.55,0.8421,0.473,129.76
L0002,2026-03-02,13,ADI,CDSEM-B,S34,2,-3,3,42.9,-87.45,0.6494,0.5,131.308
L0002,2026-03-02,13,ADI,CDSEM-B,S35,2,-3,4,61.1,-87.45,0.7112,0.527,128.437
L0002,2026-03-02,13,ADI,CDSEM-B,S36,-2,-3,0,-52.0,-99.0,0.7455,0.553,131.418
L0002,2026-03-02,13,ADI,CDSEM-B,S37,-2,-3,1,-61.1,-110.55,0.8421,0.58,129.737
L0002,2026-03-02,13,ADI,CDSEM-B,S38,-2,-3,2,-42.9,-110.55,0.7905,0.42,130.049
L0002,2026-03-02,13,ADI,CDSEM-B,S39,-2,-3,3,-61.1,-87.45,0.7112,0.447,130.578
L0002,2026-03-02,13,ADI,CDSEM-B,S40,-2,-3,4,-42.9,-87.45,0.6494,0.473,130.218
L0002,2026-03-02,23,ADI,CDSEM-B,S00,0,0,0,0.0,0.0,0.0,0.42,130.359
L0002,2026-03-02,23,ADI,CDSEM-B,S01,0,0,1,-9.1,-11.55,0.098,0.447,131.098
L0002,2026-03-02,23,ADI,CDSEM-B,S02,0,0,2,9.1,-11.55,0.098,0.473,128.876
L0002,2026-03-02,23,ADI,CDSEM-B,S03,0,0,3,-9.1,11.55,0.098,0.5,129.489
L0002,2026-03-02,23,ADI,CDSEM-B,S04,0,0,4,9.1,11.55,0.098,0.527,128.919
L0002,2026-03-02,23,ADI,CDSEM-B,S05,2,0,0,52.0,0.0,0.3467,0.553,129.565
L0002,2026-03-02,23,ADI,CDSEM-B,S06,2,0,1,42.9,-11.55,0.2962,0.58,130.108
L0002,2026-03-02,23,ADI,CDSEM-B,S07,2,0,2,61.1,-11.55,0.4145,0.42,131.422
L0002,2026-03-02,23,ADI,CDSEM-B,S08,2,0,3,42.9,11.55,0.2962,0.447,130.121
L0002,2026-03-02,23,ADI,CDSEM-B,S09,2,0,4,61.1,11.55,0.4145,0.473,128.92
L0002,2026-03-02,23,ADI,CDSEM-B,S10,-2,0,0,-52.0,0.0,0.3467,0.5,130.438
L0002,2026-03-02,23,ADI,CDSEM-B,S11,-2,0,1,-61.1,-11.55,0.4145,0.527,131.971
L0002,2026-03-02,23,ADI,CDSEM-B,S12,-2,0,2,-42.9,-11.55,0.2962,0.553,128.206
L0002,2026-03-02,23,ADI,CDSEM-B,S13,-2,0,3,-61.1,11.55,0.4145,0.58,131.439
L0002,2026-03-02,23,ADI,CDSEM-B,S14,-2,0,4,-42.9,11.55,0.2962,0.42,128.411
L0002,2026-03-02,23,ADI,CDSEM-B,S15,0,2,0,0.0,66.0,0.44,0.447,130.24
L0002,2026-03-02,23,ADI,CDSEM-B,S16,0,2,1,-9.1,54.45,0.368,0.473,130.465
L0002,2026-03-02,23,ADI,CDSEM-B,S17,0,2,2,9.1,54.45,0.368,0.5,130.171
L0002,2026-03-02,23,ADI,CDSEM-B,S18,0,2,3,-9.1,77.55,0.5205,0.527,131.858
L0002,2026-03-02,23,ADI,CDSEM-B,S19,0,2,4,9.1,77.55,0.5205,0.553,129.18
L0002,2026-03-02,23,ADI,CDSEM-B,S20,0,-2,0,0.0,-66.0,0.44,0.58,130.731
L0002,2026-03-02,23,ADI,CDSEM-B,S21,0,-2,1,-9.1,-77.55,0.5205,0.42,129.86
L0002,2026-03-02,23,ADI,CDSEM-B,S22,0,-2,2,9.1,-77.55,0.5205,0.447,130.189
L0002,2026-03-02,23,ADI,CDSEM-B,S23,0,-2,3,-9.1,-54.45,0.368,0.473,130.448
L0002,2026-03-02,23,ADI,CDSEM-B,S24,0,-2,4,9.1,-54.45,0.368,0.5,129.276
L0002,2026-03-02,23,ADI,CDSEM-B,S25,5,0,0,130.0,0.0,0.8667,0.527,130.456
L0002,2026-03-02,23,ADI,CDSEM-B,S26,5,0,1,120.9,-11.55,0.8097,0.553,131.107
L0002,2026-03-02,23,ADI,CDSEM-B,S27,5,0,3,120.9,11.55,0.8097,0.42,131.958
L0002,2026-03-02,23,ADI,CDSEM-B,S28,-5,0,0,-130.0,0.0,0.8667,0.473,130.895
L0002,2026-03-02,23,ADI,CDSEM-B,S29,-5,0,2,-120.9,-11.55,0.8097,0.527,129.916
L0002,2026-03-02,23,ADI,CDSEM-B,S30,-5,0,4,-120.9,11.55,0.8097,0.58,128.46
L0002,2026-03-02,23,ADI,CDSEM-B,S31,2,-3,0,52.0,-99.0,0.7455,0.42,131.632
L0002,2026-03-02,23,ADI,CDSEM-B,S32,2,-3,1,42.9,-110.55,0.7905,0.447,130.117
L0002,2026-03-02,23,ADI,CDSEM-B,S33,2,-3,2,61.1,-110.55,0.8421,0.473,129.512
L0002,2026-03-02,23,ADI,CDSEM-B,S34,2,-3,3,42.9,-87.45,0.6494,0.5,129.026
L0002,2026-03-02,23,ADI,CDSEM-B,S35,2,-3,4,61.1,-87.45,0.7112,0.527,128.65
L0002,2026-03-02,23,ADI,CDSEM-B,S36,-2,-3,0,-52.0,-99.0,0.7455,0.553,131.336
L0002,2026-03-02,23,ADI,CDSEM-B,S37,-2,-3,1,-61.1,-110.55,0.8421,0.58,130.883
L0002,2026-03-02,23,ADI,CDSEM-B,S38,-2,-3,2,-42.9,-110.55,0.7905,0.42,128.96
L0002,2026-03-02,23,ADI,CDSEM-B,S39,-2,-3,3,-61.1,-87.45,0.7112,0.447,131.623
