lot_id,date,day_index,product,layer,scanner_id,reticle_id,dose_setting_mJcm2,dose_dev_pct,focus_setting_nm,focus_sensor_nm,etch_chamber,rf_hours_since_pm,adi_meas_tool,aci_meas_tool,aci_measured,dose_sensor_mJcm2,dose_setting_vs_sensor_pct
L0020,2026-03-04,2,P-A1,M1-LS,SCN-01,RET-A,32.0,0.074,0.0,-6.3,CH-B,331.3,CDSEM-B,CDSEM-A,False,31.971,-0.091
L0021,2026-03-04,2,P-A1,M1-LS,SCN-02,RET-B,32.0,0.14,0.0,-1.1,CH-B,334.2,CDSEM-B,CDSEM-A,True,31.989,-0.034
L0022,2026-03-04,2,P-A1,M1-LS,SCN-01,RET-A,32.0,0.061,0.0,0.6,CH-D,62.8,CDSEM-A,CDSEM-B,False,31.922,-0.244
L0023,2026-03-04,2,P-A1,M1-LS,SCN-01,RET-A,32.0,-0.056,0.0,-14.6,CH-B,336.8,CDSEM-A,CDSEM-B,True,31.988,-0.038
L0024,2026-03-04,2,P-A1,M1-LS,SCN-01,RET-B,32.0,-0.085,0.0,7.6,CH-D,65.8,CDSEM-A,CDSEM-B,False,31.99,-0.031
L0025,2026-03-05,3,P-A1,M1-LS,SCN-01,RET-A,32.0,0.423,0.0,-19.1,CH-A,149.8,CDSEM-A,CDSEM-A,True,32.188,0.588
L0026,2026-03-05,3,P-A1,M1-LS,SCN-02,RET-B,32.0,0.142,0.0,-12.1,CH-A,152.2,CDSEM-A,CDSEM-B,False,31.945,-0.172
L0027,2026-03-05,3,P-A1,M1-LS,SCN-01,RET-A,32.0,-0.037,0.0,2.8,CH-C,209.6,CDSEM-B,CDSEM-B,True,31.975,-0.078
L0028,2026-03-05,3,P-A1,M1-LS,SCN-01,RET-A,32.0,-0.3,0.0,-5.7,CH-C,212.6,CDSEM-B,CDSEM-B,False,31.814,-0.581
L0029,2026-03-05,3,P-A1,M1-LS,SCN-02,RET-A,32.0,0.471,0.0,-3.3,CH-D,67.5,CDSEM-B,CDSEM-B,True,32.2,0.625
L0030,2026-03-05,3,P-A1,M1-LS,SCN-01,RET-B,32.0,-0.33,0.0,2.4,CH-C,215.1,CDSEM-B,CDSEM-A,False,31.924,-0.238
L0031,2026-03-05,3,P-A1,M1-LS,SCN-02,RET-B,32.0,-0.132,0.0,-1.6,CH-A,154.3,CDSEM-A,CDSEM-A,True,31.916,-0.262
L0032,2026-03-05,3,P-A1,M1-LS,SCN-01,RET-A,32.0,-0.426,0.0,-11.4,CH-A,156.6,CDSEM-A,CDSEM-B,False,31.838,-0.506
L0033,2026-03-06,4,P-A1,M1-LS,SCN-02,RET-B,32.0,-0.128,0.0,12.8,CH-A,158.9,CDSEM-A,CDSEM-A,True,31.885,-0.359
L0034,2026-03-06,4,P-A1,M1-LS,SCN-01,RET-B,32.0,0.035,0.0,-5.2,CH-B,339.2,CDSEM-B,CDSEM-B,False,32.035,0.109
L0035,2026-03-06,4,P-A1,M1-LS,SCN-02,RET-B,32.0,0.081,0.0,28.1,CH-A,161.2,CDSEM-A,CDSEM-A,True,32.001,0.003
L0036,2026-03-06,4,P-A1,M1-LS,SCN-02,RET-A,32.0,0.158,0.0,1.7,CH-A,163.1,CDSEM-A,CDSEM-A,False,31.979,-0.066
L0037,2026-03-06,4,P-A1,M1-LS,SCN-02,RET-A,32.0,-0.496,0.0,17.2,CH-C,216.9,CDSEM-B,CDSEM-A,True,31.851,-0.466
L0038,2026-03-06,4,P-A1,M1-LS,SCN-01,RET-B,32.0,0.19,0.0,-5.4,CH-C,218.4,CDSEM-B,CDSEM-B,False,32.086,0.269
L0039,2026-03-06,4,P-A1,M1-LS,SCN-02,RET-A,32.0,0.038,0.0,16.5,CH-B,341.9,CDSEM-B,CDSEM-B,True,32.01,0.031
L0040,2026-03-06,4,P-A1,M1-LS,SCN-02,RET-B,32.0,0.157,0.0,-5.3,CH-D,69.8,CDSEM-A,CDSEM-A,False,32.055,0.172
L0041,2026-03-09,5,P-A1,M1-LS,SCN-02,RET-A,32.0,0.26,0.0,18.4,CH-D,72.8,CDSEM-B,CDSEM-A,True,32.029,0.091
L0042,2026-03-09,5,P-A1,M1-LS,SCN-01,RET-B,32.0,-0.199,0.0,-28.1,CH-C,220.0,CDSEM-A,CDSEM-B,False,31.922,-0.244
L0043,2026-03-09,5,P-A1,M1-LS,SCN-02,RET-A,32.0,0.013,0.0,-5.8,CH-A,165.9,CDSEM-A,CDSEM-A,True,32.028,0.087
L0044,2026-03-09,5,P-A1,M1-LS,SCN-02,RET-A,32.0,0.012,0.0,11.0,CH-D,74.7,CDSEM-B,CDSEM-B,False,31.997,-0.009
L0045,2026-03-09,5,P-A1,M1-LS,SCN-02,RET-B,32.0,-0.057,0.0,17.2,CH-C,221.5,CDSEM-A,CDSEM-A,True,32.022,0.069
L0046,2026-03-09,5,P-A1,M1-LS,SCN-01,RET-B,32.0,0.106,0.0,-15.4,CH-C,223.1,CDSEM-B,CDSEM-A,False,32.023,0.072
L0047,2026-03-09,5,P-A1,M1-LS,SCN-01,RET-B,32.0,0.57,0.0,-0.6,CH-C,225.6,CDSEM-B,CDSEM-B,True,32.202,0.631
L0048,2026-03-09,5,P-A1,M1-LS,SCN-02,RET-A,32.0,-0.078,0.0,-0.2,CH-D,77.6,CDSEM-B,CDSEM-A,False,31.939,-0.191
L0049,2026-03-10,6,P-A1,M1-LS,SCN-01,RET-A,32.0,-0.144,0.0,6.8,CH-C,227.8,CDSEM-A,CDSEM-A,True,31.97,-0.094
L0050,2026-03-10,6,P-A1,M1-LS,SCN-01,RET-A,32.0,0.156,0.0,-14.4,CH-D,79.4,CDSEM-A,CDSEM-A,False,32.05,0.156
L0051,2026-03-10,6,P-A1,M1-LS,SCN-02,RET-A,32.0,0.085,0.0,-17.6,CH-C,230.6,CDSEM-A,CDSEM-B,True,31.985,-0.047
L0052,2026-03-10,6,P-A1,M1-LS,SCN-01,RET-A,32.0,0.005,0.0,-17.0,CH-B,344.1,CDSEM-A,CDSEM-B,False,31.962,-0.119
L0053,2026-03-10,6,P-A1,M1-LS,SCN-02,RET-B,32.0,0.241,0.0,-15.8,CH-D,81.8,CDSEM-B,CDSEM-A,True,32.055,0.172
L0054,2026-03-10,6,P-A1,M1-LS,SCN-02,RET-A,32.0,-0.087,0.0,23.7,CH-B,345.7,CDSEM-A,CDSEM-A,False,31.916,-0.262
L0055,2026-03-10,6,P-A1,M1-LS,SCN-02,RET-A,32.0,0.05,0.0,5.5,CH-A,167.5,CDSEM-A,CDSEM-A,True,32.035,0.109
L0056,2026-03-10,6,P-A1,M1-LS,SCN-01,RET-A,32.0,-0.156,0.0,-19.4,CH-B,348.4,CDSEM-A,CDSEM-B,False,31.971,-0.091
L0057,2026-03-11,7,P-A1,M1-LS,SCN-02,RET-A,32.0,-0.054,0.0,1.1,CH-D,84.0,CDSEM-A,CDSEM-A,True,31.938,-0.194
L0058,2026-03-11,7,P-A1,M1-LS,SCN-01,RET-B,32.0,-0.41,0.0,0.9,CH-C,232.9,CDSEM-A,CDSEM-A,False,31.871,-0.403
L0059,2026-03-11,7,P-A1,M1-LS,SCN-02,RET-A,32.0,0.087,0.0,20.2,CH-A,170.0,CDSEM-B,CDSEM-B,True,31.93,-0.219
L0060,2026-03-11,7,P-A1,M1-LS,SCN-02,RET-A,32.0,0.134,0.0,14.1,CH-D,85.7,CDSEM-A,CDSEM-A,False,32.02,0.063
L0061,2026-03-11,7,P-A1,M1-LS,SCN-02,RET-B,32.0,0.095,0.0,-1.8,CH-A,172.8,CDSEM-B,CDSEM-B,True,32.035,0.109
L0062,2026-03-11,7,P-A1,M1-LS,SCN-01,RET-A,32.0,-0.085,0.0,11.3,CH-D,87.6,CDSEM-B,CDSEM-A,False,32.025,0.078
L0063,2026-03-11,7,P-A1,M1-LS,SCN-01,RET-B,32.0,0.081,0.0,6.5,CH-B,350.4,CDSEM-B,CDSEM-B,True,31.965,-0.109
L0064,2026-03-11,7,P-A1,M1-LS,SCN-01,RET-B,32.0,-0.461,0.0,-7.0,CH-C,235.1,CDSEM-B,CDSEM-A,False,31.784,-0.675
L0065,2026-03-12,8,P-A1,M1-LS,SCN-02,RET-B,32.0,-0.14,0.0,15.2,CH-C,237.5,CDSEM-A,CDSEM-A,True,31.97,-0.094
L0066,2026-03-12,8,P-A1,M1-LS,SCN-01,RET-A,32.0,0.097,0.0,14.4,CH-C,240.3,CDSEM-A,CDSEM-B,False,31.984,-0.05
L0067,2026-03-12,8,P-A1,M1-LS,SCN-01,RET-A,32.0,0.289,0.0,2.6,CH-D,89.6,CDSEM-A,CDSEM-A,True,32.065,0.203
L0068,2026-03-12,8,P-A1,M1-LS,SCN-01,RET-B,32.0,0.127,0.0,-5.8,CH-A,175.6,CDSEM-B,CDSEM-B,False,31.992,-0.025
L0069,2026-03-12,8,P-A1,M1-LS,SCN-02,RET-A,32.0,-0.39,0.0,2.6,CH-D,91.9,CDSEM-A,CDSEM-A,True,31.94,-0.187
L0070,2026-03-12,8,P-A1,M1-LS,SCN-02,RET-B,32.0,-0.173,0.0,-2.2,CH-A,177.3,CDSEM-A,CDSEM-B,False,31.936,-0.2
L0071,2026-03-12,8,P-A1,M1-LS,SCN-02,RET-B,32.0,0.091,0.0,15.6,CH-D,94.1,CDSEM-B,CDSEM-A,True,31.947,-0.166
L0072,2026-03-12,8,P-A1,M1-LS,SCN-02,RET-A,32.0,0.005,0.0,-1.4,CH-C,242.1,CDSEM-B,CDSEM-A,False,31.928,-0.225
L0073,2026-03-13,9,P-A1,M1-LS,SCN-02,RET-A,32.0,-0.354,0.0,-14.1,CH-D,96.6,CDSEM-B,CDSEM-A,True,31.899,-0.316
L0074,2026-03-13,9,P-A1,M1-LS,SCN-01,RET-A,32.0,0.261,0.0,2.4,CH-A,179.3,CDSEM-B,CDSEM-B,False,32.071,0.222
L0075,2026-03-13,9,P-A1,M1-LS,SCN-02,RET-A,32.0,0.115,0.0,3.1,CH-D,98.8,CDSEM-A,CDSEM-B,True,32.06,0.188
L0076,2026-03-13,9,P-A1,M1-LS,SCN-01,RET-A,32.0,0.052,0.0,9.1,CH-A,180.9,CDSEM-A,CDSEM-B,False,31.929,-0.222
L0077,2026-03-13,9,P-A1,M1-LS,SCN-02,RET-A,32.0,-0.111,0.0,8.7,CH-D,100.5,CDSEM-B,CDSEM-A,True,31.908,-0.287
L0078,2026-03-13,9,P-A1,M1-LS,SCN-01,RET-B,32.0,-0.104,0.0,10.6,CH-A,182.7,CDSEM-B,CDSEM-B,False,31.924,-0.238
L0079,2026-03-13,9,P-A1,M1-LS,SCN-02,RET-A,32.0,0.284,0.0,-15.4,CH-A,184.5,CDSEM-A,CDSEM-A,True,32.134,0.419
L0080,2026-03-13,9,P-A1,M1-LS,SCN-02,RET-B,32.0,0.147,0.0,-6.6,CH-A,186.3,CDSEM-A,CDSEM-B,False,32.112,0.35
L0081,2026-03-16,10,P-A1,M1-LS,SCN-01,RET-A,32.0,1.465,0.0,-17.6,CH-B,352.0,CDSEM-B,CDSEM-A,True,32.57,1.781
L0082,2026-03-16,10,P-A1,M1-LS,SCN-01,RET-B,32.0,1.35,0.0,-10.0,CH-D,102.8,CDSEM-A,CDSEM-B,False,32.355,1.109
L0083,2026-03-16,10,P-A1,M1-LS,SCN-01,RET-A,32.0,1.236,0.0,-0.4,CH-C,244.1,CDSEM-B,CDSEM-B,True,32.346,1.081
L0084,2026-03-16,10,P-A1,M1-LS,SCN-01,RET-A,32.0,1.58,0.0,2.1,CH-A,188.4,CDSEM-A,CDSEM-B,False,32.393,1.228
L0085,2026-03-16,10,P-A1,M1-LS,SCN-01,RET-B,32.0,1.324,0.0,-6.8,CH-D,105.3,CDSEM-B,CDSEM-A,True,32.386,1.206
L0086,2026-03-16,10,P-A1,M1-LS,SCN-02,RET-B,32.0,0.132,0.0,5.4,CH-C,245.6,CDSEM-B,CDSEM-A,False,32.111,0.347
L0087,2026-03-16,10,P-A1,M1-LS,SCN-01,RET-A,32.0,1.799,0.0,-2.9,CH-C,248.4,CDSEM-B,CDSEM-B,True,32.52,1.625
L0088,2026-03-16,10,P-A1,M1-LS,SCN-01,RET-B,32.0,1.34,0.0,-20.8,CH-B,353.6,CDSEM-A,CDSEM-B,False,32.348,1.087
L0089,2026-03-17,11,P-A1,M1-LS,SCN-02,RET-A,32.0,-0.139,0.0,-24.4,CH-D,107.0,CDSEM-A,CDSEM-B,True,32.02,0.063
L0090,2026-03-17,11,P-A1,M1-LS,SCN-02,RET-A,32.0,-0.047,0.0,-0.9,CH-C,250.0,CDSEM-A,CDSEM-A,False,31.858,-0.444
L0091,2026-03-17,11,P-A1,M1-LS,SCN-02,RET-B,32.0,0.227,0.0,-8.5,CH-D,109.3,CDSEM-B,CDSEM-B,True,32.104,0.325
L0092,2026-03-17,11,P-A1,M1-LS,SCN-02,RET-B,32.0,-0.091,0.0,-7.2,CH-B,356.5,CDSEM-B,CDSEM-B,False,31.963,-0.116
L0093,2026-03-17,11,P-A1,M1-LS,SCN-01,RET-B,32.0,1.416,0.0,-8.5,CH-B,358.7,CDSEM-A,CDSEM-B,True,32.368,1.15
L0094,2026-03-17,11,P-A1,M1-LS,SCN-01,RET-A,32.0,1.784,0.0,5.2,CH-D,111.1,CDSEM-A,CDSEM-A,False,32.565,1.766
L0095,2026-03-17,11,P-A1,M1-LS,SCN-01,RET-A,32.0,1.391,0.0,-26.8,CH-C,252.6,CDSEM-B,CDSEM-B,True,32.433,1.353
L0096,2026-03-17,11,P-A1,M1-LS,SCN-02,RET-A,32.0,0.226,0.0,-7.8,CH-A,190.9,CDSEM-A,CDSEM-A,False,32.103,0.322
L0097,2026-03-18,12,P-A1,M1-LS,SCN-01,RET-A,32.0,2.087,0.0,7.0,CH-A,193.0,CDSEM-B,CDSEM-B,True,32.616,1.925
L0098,2026-03-18,12,P-A1,M1-LS,SCN-02,RET-B,32.0,-0.092,0.0,9.6,CH-D,112.9,CDSEM-A,CDSEM-A,False,31.947,-0.166
L0099,2026-03-18,12,P-A1,M1-LS,SCN-02,RET-B,32.0,0.19,0.0,-0.9,CH-D,115.7,CDSEM-B,CDSEM-B,True,32.094,0.294
L0100,2026-03-18,12,P-A1,M1-LS,SCN-02,RET-B,32.0,0.416,0.0,-3.2,CH-D,117.4,CDSEM-B,CDSEM-B,False,32.086,0.269
L0101,2026-03-18,12,P-A1,M1-LS,SCN-02,RET-A,32.0,-0.312,0.0,12.1,CH-B,361.4,CDSEM-B,CDSEM-A,True,31.922,-0.244
L0102,2026-03-18,12,P-A1,M1-LS,SCN-02,RET-A,32.0,0.292,0.0,1.0,CH-A,194.5,CDSEM-B,CDSEM-B,False,32.113,0.353
L0103,2026-03-18,12,P-A1,M1-LS,SCN-02,RET-B,32.0,0.051,0.0,35.9,CH-B,363.0,CDSEM-A,CDSEM-B,True,32.001,0.003
L0104,2026-03-18,12,P-A1,M1-LS,SCN-01,RET-B,32.0,2.199,0.0,-0.2,CH-D,120.3,CDSEM-A,CDSEM-A,False,32.696,2.175
L0105,2026-03-19,13,P-A1,M1-LS,SCN-02,RET-B,32.0,0.332,0.0,-25.7,CH-D,123.1,CDSEM-B,CDSEM-A,True,32.108,0.337
L0106,2026-03-19,13,P-A1,M1-LS,SCN-01,RET-B,32.0,2.329,0.0,-11.4,CH-D,125.5,CDSEM-A,CDSEM-B,False,32.772,2.412
L0107,2026-03-19,13,P-A1,M1-LS,SCN-02,RET-A,32.0,0.1,0.0,9.0,CH-C,255.0,CDSEM-B,CDSEM-A,True,32.03,0.094
L0108,2026-03-19,13,P-A1,M1-LS,SCN-01,RET-A,32.0,1.803,0.0,-5.0,CH-C,256.9,CDSEM-A,CDSEM-B,False,32.634,1.981
L0109,2026-03-19,13,P-A1,M1-LS,SCN-02,RET-A,32.0,0.118,0.0,-15.9,CH-B,364.7,CDSEM-B,CDSEM-A,True,32.169,0.528
L0110,2026-03-19,13,P-A1,M1-LS,SCN-01,RET-B,32.0,2.392,0.0,17.5,CH-A,196.6,CDSEM-A,CDSEM-B,False,32.824,2.575
L0111,2026-03-19,13,P-A1,M1-LS,SCN-01,RET-B,32.0,2.266,0.0,26.8,CH-D,128.4,CDSEM-B,CDSEM-B,True,32.571,1.784
L0112,2026-03-19,13,P-A1,M1-LS,SCN-02,RET-B,32.0,0.502,0.0,-11.9,CH-B,366.4,CDSEM-A,CDSEM-B,False,32.153,0.478
L0113,2026-03-20,14,P-A1,M1-LS,SCN-01,RET-A,32.0,0.008,0.0,-5.2,CH-B,369.3,CDSEM-B,CDSEM-B,True,32.041,0.128
L0114,2026-03-20,14,P-A1,M1-LS,SCN-01,RET-B,32.0,-0.622,0.0,20.3,CH-C,259.5,CDSEM-A,CDSEM-B,False,31.774,-0.706
L0115,2026-03-20,14,P-A1,M1-LS,SCN-02,RET-B,32.0,0.363,0.0,13.5,CH-D,130.6,CDSEM-A,CDSEM-B,True,32.142,0.444
L0116,2026-03-20,14,P-A1,M1-LS,SCN-01,RET-A,32.0,-0.077,0.0,4.9,CH-C,262.0,CDSEM-B,CDSEM-A,False,31.876,-0.387
L0117,2026-03-20,14,P-A1,M1-LS,SCN-02,RET-A,32.0,0.007,0.0,6.5,CH-A,199.4,CDSEM-A,CDSEM-A,True,31.971,-0.091
L0118,2026-03-20,14,P-A1,M1-LS,SCN-02,RET-A,32.0,-0.161,0.0,17.8,CH-D,133.1,CDSEM-B,CDSEM-A,False,31.977,-0.072
L0119,2026-03-20,14,P-A1,M1-LS,SCN-02,RET-B,32.0,0.036,0.0,-0.3,CH-C,264.7,CDSEM-B,CDSEM-B,True,32.135,0.422
L0120,2026-03-20,14,P-A1,M1-LS,SCN-01,RET-B,32.0,-0.088,0.0,3.7,CH-B,371.1,CDSEM-B,CDSEM-A,False,32.033,0.103
L0121,2026-03-23,15,P-A1,M1-LS,SCN-02,RET-B,32.0,-0.093,0.0,-1.5,CH-A,201.4,CDSEM-A,CDSEM-A,True,31.86,-0.438
L0122,2026-03-23,15,P-A1,M1-LS,SCN-02,RET-A,32.0,-0.201,0.0,-11.8,CH-A,204.3,CDSEM-A,CDSEM-B,False,31.817,-0.572
L0123,2026-03-23,15,P-A1,M1-LS,SCN-02,RET-A,32.0,0.322,0.0,-14.2,CH-A,207.0,CDSEM-A,CDSEM-B,True,32.059,0.184
L0124,2026-03-23,15,P-A1,M1-LS,SCN-01,RET-A,32.0,-0.083,0.0,7.9,CH-B,373.1,CDSEM-B,CDSEM-A,False,31.95,-0.156
L0125,2026-03-23,15,P-A1,M1-LS,SCN-02,RET-B,32.0,-0.03,0.0,-7.2,CH-C,267.7,CDSEM-B,CDSEM-A,True,32.016,0.05
L0126,2026-03-23,15,P-A1,M1-LS,SCN-02,RET-B,32.0,-0.026,0.0,1.3,CH-B,374.8,CDSEM-B,CDSEM-A,False,31.945,-0.172
L0127,2026-03-23,15,P-A1,M1-LS,SCN-02,RET-B,32.0,-0.265,0.0,-6.5,CH-A,208.8,CDSEM-A,CDSEM-B,True,31.916,-0.262
L0128,2026-03-23,15,P-A1,M1-LS,SCN-02,RET-A,32.0,0.077,0.0,-14.7,CH-D,135.1,CDSEM-B,CDSEM-A,False,32.012,0.038
L0129,2026-03-24,16,P-A1,M1-LS,SCN-01,RET-B,32.0,-0.052,0.0,4.5,CH-D,137.8,CDSEM-A,CDSEM-B,True,31.99,-0.031
L0130,2026-03-24,16,P-A1,M1-LS,SCN-02,RET-B,32.0,-0.2,0.0,29.0,CH-D,139.6,CDSEM-B,CDSEM-B,False,31.895,-0.328
L0131,2026-03-24,16,P-A1,M1-LS,SCN-02,RET-A,32.0,0.027,0.0,-10.6,CH-B,377.0,CDSEM-A,CDSEM-A,True,32.039,0.122
L0132,2026-03-24,16,P-A1,M1-LS,SCN-02,RET-A,32.0,0.017,0.0,2.6,CH-C,269.4,CDSEM-A,CDSEM-B,False,31.943,-0.178
L0133,2026-03-24,16,P-A1,M1-LS,SCN-01,RET-A,32.0,0.051,0.0,21.8,CH-B,379.4,CDSEM-A,CDSEM-A,True,31.975,-0.078
L0134,2026-03-24,16,P-A1,M1-LS,SCN-01,RET-B,32.0,0.3,0.0,-4.2,CH-C,271.1,CDSEM-A,CDSEM-A,False,32.082,0.256
L0135,2026-03-24,16,P-A1,M1-LS,SCN-02,RET-A,32.0,0.29,0.0,-7.5,CH-C,274.0,CDSEM-B,CDSEM-B,True,32.053,0.166
L0136,2026-03-24,16,P-A1,M1-LS,SCN-02,RET-A,32.0,-0.622,0.0,12.2,CH-C,276.2,CDSEM-A,CDSEM-B,False,31.8,-0.625
L0137,2026-03-25,17,P-A1,M1-LS,SCN-01,RET-A,32.0,0.181,0.0,-23.1,CH-A,211.6,CDSEM-A,CDSEM-B,True,32.123,0.384
L0138,2026-03-25,17,P-A1,M1-LS,SCN-01,RET-B,32.0,-0.213,0.0,-37.9,CH-A,213.2,CDSEM-B,CDSEM-A,False,31.934,-0.206
L0139,2026-03-25,17,P-A1,M1-LS,SCN-01,RET-B,32.0,-0.075,0.0,-7.1,CH-A,214.9,CDSEM-A,CDSEM-B,True,31.923,-0.241
L0140,2026-03-25,17,P-A1,M1-LS,SCN-01,RET-B,32.0,-0.13,0.0,-13.7,CH-D,142.2,CDSEM-B,CDSEM-B,False,31.969,-0.097
L0141,2026-03-25,17,P-A1,M1-LS,SCN-01,RET-B,32.0,-0.098,0.0,1.7,CH-C,277.9,CDSEM-B,CDSEM-A,True,31.973,-0.084
L0142,2026-03-25,17,P-A1,M1-LS,SCN-01,RET-B,32.0,0.007,0.0,-7.4,CH-D,143.9,CDSEM-A,CDSEM-B,False,31.977,-0.072
L0143,2026-03-25,17,P-A1,M1-LS,SCN-01,RET-B,32.0,0.351,0.0,-4.3,CH-B,381.0,CDSEM-A,CDSEM-B,True,32.196,0.612
L0144,2026-03-25,17,P-A1,M1-LS,SCN-02,RET-A,32.0,-0.121,0.0,15.2,CH-A,217.3,CDSEM-A,CDSEM-A,False,31.91,-0.281
L0145,2026-03-26,18,P-A1,M1-LS,SCN-01,RET-B,32.0,-0.208,0.0,4.4,CH-D,146.5,CDSEM-B,CDSEM-B,True,31.963,-0.116
L0146,2026-03-26,18,P-A1,M1-LS,SCN-02,RET-A,32.0,-0.281,0.0,10.8,CH-B,382.8,CDSEM-B,CDSEM-B,False,31.895,-0.328
L0147,2026-03-26,18,P-A1,M1-LS,SCN-02,RET-A,32.0,0.231,0.0,2.7,CH-B,385.3,CDSEM-A,CDSEM-A,True,31.979,-0.066
L0148,2026-03-26,18,P-A1,M1-LS,SCN-01,RET-A,32.0,-0.065,0.0,14.2,CH-C,280.2,CDSEM-B,CDSEM-B,False,32.065,0.203
L0149,2026-03-26,18,P-A1,M1-LS,SCN-01,RET-B,32.0,0.097,0.0,1.0,CH-B,387.7,CDSEM-B,CDSEM-A,True,32.017,0.053
L0150,2026-03-26,18,P-A1,M1-LS,SCN-01,RET-B,32.0,0.253,0.0,-8.0,CH-D,148.7,CDSEM-B,CDSEM-A,False,32.079,0.247
L0151,2026-03-26,18,P-A1,M1-LS,SCN-01,RET-B,32.0,0.218,0.0,-24.8,CH-D,150.2,CDSEM-A,CDSEM-B,True,32.076,0.238
L0152,2026-03-26,18,P-A1,M1-LS,SCN-01,RET-A,32.0,-0.283,0.0,-3.8,CH-A,218.8,CDSEM-A,CDSEM-B,False,31.912,-0.275
L0153,2026-03-27,19,P-A1,M1-LS,SCN-01,RET-B,32.0,-0.37,0.0,16.2,CH-B,390.0,CDSEM-A,CDSEM-A,True,31.882,-0.369
L0154,2026-03-27,19,P-A1,M1-LS,SCN-02,RET-B,32.0,-0.035,0.0,-6.5,CH-C,283.1,CDSEM-A,CDSEM-B,False,31.967,-0.103
L0155,2026-03-27,19,P-A1,M1-LS,SCN-01,RET-A,32.0,-0.259,0.0,8.3,CH-D,152.4,CDSEM-B,CDSEM-A,True,31.908,-0.287
L0156,2026-03-27,19,P-A1,M1-LS,SCN-01,RET-B,32.0,0.54,0.0,5.2,CH-D,154.9,CDSEM-B,CDSEM-B,False,32.097,0.303
